"","Geohash","AvgAcceleration","PercentOfVehicles","AvgMonthlyVolume","PercentCar","PercentMPV","PercentLDT","PercentMDT","PercentHDT","PercentOther","Count.Date","SeverityScore","IncidentsTotal","sum_acc_count","X8.Peak.Hr.Vehicle.Volume","X8.Peak.Hr.Pedestrian.Volume"
"131","dpz81qf",0.4762,0.1486,249,0.008,0.1004,0.3574,0.0201,0.2851,0.229,NA,NA,NA,NA,NA,NA
"132","dpz81qg",1.0573,0.4407,801,0,0,0.0013,0,0.9567,0.042,NA,NA,NA,NA,NA,NA
"133","dpz81qu",0.3198,0.2222,27,0.037,0.1111,0.3333,0.0741,0.1852,0.2593,NA,NA,NA,NA,NA,NA
"134","dpz81r0",0.8249,0.0091,328,0.0214,0.1865,0.2783,0.0275,0.3517,0.1346,NA,NA,NA,NA,NA,NA
"135","dpz81r1",0.9446,0.0552,453,0.0177,0.1704,0.3119,0.0398,0.3164,0.1438,NA,NA,NA,NA,NA,NA
"136","dpz81r2",0.9477,0.0198,354,0.017,0.196,0.2784,0.0313,0.3381,0.1392,NA,NA,NA,NA,NA,NA
"137","dpz81r3",0.46,0.1639,61,0.0328,0.0984,0.2787,0.1803,0.082,0.3278,NA,NA,NA,NA,NA,NA
"138","dpz81r4",0.4692,0.02,50,0,0.18,0.56,0.02,0.1,0.14,NA,NA,NA,NA,NA,NA
"139","dpz81r5",0.3697,0.0329,152,0.0132,0.0987,0.3092,0.0329,0.2566,0.2894,NA,NA,NA,NA,NA,NA
"140","dpz81r8",1.0627,0.0182,55,0.0182,0.2727,0.0727,0.0364,0.2545,0.3455,NA,NA,NA,2,NA,NA
"141","dpz81r9",0.4699,0.1884,69,0,0.3333,0.029,0.029,0.1159,0.4928,NA,NA,NA,NA,NA,NA
"142","dpz81rb",0.7502,0.1628,3403,0.0242,0.2005,0.1745,0.0481,0.1225,0.4302,2012-02-22,NA,NA,3,5781,1156
"143","dpz81rc",0.8543,0.0183,383,0.05,0.2237,0.1684,0.0868,0.1289,0.3422,NA,NA,NA,NA,NA,NA
"144","dpz81rd",0.8059,0.2895,38,0,0.3684,0,0,0.1579,0.4737,NA,NA,NA,NA,NA,NA
"145","dpz81rf",0.372,0.0326,1167,0.0362,0.2276,0.1784,0.0483,0.1302,0.3793,NA,NA,NA,NA,NA,NA
"146","dpz81rg",0.8424,0.0588,68,0.0147,0.25,0.1176,0.0588,0.1618,0.3971,NA,NA,NA,NA,NA,NA
"147","dpz81ru",0.5432,0.0753,93,0.0323,0.1613,0.0753,0.0968,0.2473,0.387,2012-06-07,NA,NA,NA,8423,2887
"148","dpz81rv",0.5164,0.0241,83,0,0.1446,0.1807,0.0482,0.1205,0.506,NA,NA,NA,NA,NA,NA
"149","dpz81ry",0.3007,0.2,15,0,0,0.8667,0,0.0667,0.0666,NA,NA,NA,NA,NA,NA
"150","dpz822h",1.8403,0.0625,16,0.0625,0.125,0.1875,0.125,0.125,0.375,NA,NA,NA,NA,NA,NA
"151","dpz822j",0.7767,0.1003,309,0.0228,0.1759,0.228,0.0423,0.0879,0.4431,NA,NA,NA,NA,NA,NA
"152","dpz822k",0.5155,0.127,307,0.0197,0.177,0.2164,0.0393,0.0852,0.4624,NA,NA,NA,NA,NA,NA
"153","dpz822m",0.8521,0.0256,39,0.0256,0.2308,0.2051,0.0513,0.1026,0.3846,NA,NA,NA,NA,NA,NA
"154","dpz822n",1.0984,0.0256,39,0.0256,0.1795,0,0,0.0513,0.7436,2017-05-17,NA,NA,NA,9339,2582
"155","dpz822p",1.6766,0.0999,1121,0.0234,0.2264,0.2058,0.0494,0.0647,0.4303,NA,NA,NA,3,NA,NA
"156","dpz822q",0.6151,0.0071,987,0.0163,0.2004,0.1536,0.0336,0.0478,0.5483,NA,NA,NA,NA,NA,NA
"157","dpz822r",0.8035,0.0308,422,0.0216,0.1659,0.1346,0.0313,0.0625,0.5841,NA,NA,NA,NA,NA,NA
"158","dpz822s",0.3904,0.0844,6698,0.0171,0.2186,0.194,0.057,0.0995,0.4138,NA,NA,NA,NA,NA,NA
"159","dpz822t",0.6389,0.073,137,0.0073,0.1971,0.1241,0.0511,0.0949,0.5255,2011-08-25,NA,NA,6,7262,2643
"160","dpz822u",1.1444,0.0714,14,0,0,0.0714,0,0.1429,0.7857,NA,NA,NA,NA,NA,NA
"161","dpz822v",0.467,0.0612,278,0.0109,0.3188,0.1377,0.0254,0.0362,0.471,NA,NA,NA,NA,NA,NA
"162","dpz822w",0.6015,0.0517,3114,0.0242,0.226,0.1565,0.0469,0.087,0.4594,NA,NA,NA,NA,NA,NA
"163","dpz822x",1.2367,0.1413,269,0.0265,0.1894,0.1174,0.0455,0.0417,0.5795,2012-02-21,NA,NA,NA,8149,2065
"164","dpz822y",1.1426,0.019,105,0.0096,0.2981,0.1346,0.0385,0.0481,0.4711,NA,NA,NA,2,NA,NA
"165","dpz822z",1.1801,0.0116,86,0.0238,0.2262,0.1667,0.0476,0.0357,0.5,NA,NA,NA,NA,NA,NA
"166","dpz823h",0.6907,0.065,123,0,0.2358,0.0894,0.0488,0.0732,0.5528,NA,NA,NA,NA,NA,NA
"167","dpz823j",0.6334,0.0552,145,0,0.2483,0.1448,0.0345,0.0621,0.5103,NA,NA,NA,NA,NA,NA
"168","dpz823k",0.415,0.2807,171,0,0.2573,0.1579,0.0292,0.0351,0.5205,NA,NA,NA,NA,NA,NA
"169","dpz823m",0.9763,0.2123,1187,0.0195,0.2368,0.1528,0.0289,0.0611,0.5009,NA,NA,NA,NA,NA,NA
"170","dpz823n",0.6811,0.0257,817,0.0136,0.2367,0.1665,0.037,0.058,0.4882,NA,NA,NA,2,NA,NA
"171","dpz823p",0.376,0.0213,47,0,0.234,0.1915,0.0213,0.0213,0.5319,NA,NA,NA,NA,NA,NA
"172","dpz823q",1.3743,0.0843,83,0.0241,0.2771,0.1807,0.0361,0.0723,0.4097,NA,NA,NA,NA,NA,NA
"173","dpz823r",0.8565,0.0127,79,0.038,0.1899,0.2278,0.0886,0.0506,0.4051,NA,NA,NA,NA,NA,NA
"174","dpz823s",0.41,0.0667,60,0,0.3333,0.25,0,0.05,0.3667,NA,NA,NA,NA,NA,NA
"175","dpz823t",0.8469,0.1242,475,0.0212,0.2293,0.1677,0.0403,0.0573,0.4842,NA,NA,NA,NA,NA,NA
"176","dpz823u",0.3856,0.2838,148,0.0068,0.2534,0.2466,0.0479,0.1164,0.3289,NA,NA,NA,NA,NA,NA
"177","dpz823v",1.0675,0.2339,1304,0.024,0.2311,0.1662,0.0317,0.0618,0.4852,NA,NA,NA,NA,NA,NA
"178","dpz823w",0.735,0.0303,99,0.0309,0.2062,0.1649,0.0206,0.0825,0.4949,NA,NA,NA,NA,NA,NA
"179","dpz823x",0.6739,0.0629,302,0.0468,0.2007,0.2074,0.0535,0.0535,0.4381,NA,NA,NA,NA,NA,NA
"180","dpz823y",0.5311,0.0638,188,0.016,0.139,0.3422,0.0588,0.0535,0.3905,NA,NA,NA,NA,NA,NA
"181","dpz823z",0.6454,0.0685,73,0.1096,0.1781,0.2192,0.0274,0.1096,0.3561,NA,NA,NA,NA,NA,NA
"182","dpz826h",0.8405,0.083,916,0.0199,0.202,0.1589,0.0419,0.0795,0.4978,NA,NA,NA,NA,NA,NA
"183","dpz826j",1.3271,0.0811,37,0,0.1892,0.1081,0.027,0.3514,0.3243,NA,NA,NA,NA,NA,NA
"184","dpz826k",0.6525,0.1055,199,0.0101,0.5101,0.2626,0.0808,0.0303,0.1061,NA,NA,NA,NA,NA,NA
"185","dpz826m",1.0368,0.1111,18,0.0556,0.3333,0.1667,0,0.0556,0.3888,NA,NA,NA,NA,NA,NA
"186","dpz826n",0.8269,0.12,25,0,0.25,0.375,0,0,0.375,2015-06-04,NA,NA,NA,12271,141
"187","dpz826p",0.5352,0.0612,6063,0.0268,0.1799,0.1466,0.0547,0.1095,0.4825,2015-04-11,0.0096,4,8,14442,5244
"188","dpz826q",0.7008,0.0875,160,0.0253,0.1772,0.3165,0.0316,0.0443,0.4051,NA,NA,NA,NA,NA,NA
"189","dpz826r",0.8894,0.0647,139,0.0146,0.146,0.1752,0.0365,0.1971,0.4306,NA,0.0582,3,NA,NA,NA
"190","dpz826s",0.3733,0.0222,1664,0.0291,0.2308,0.1448,0.0472,0.0793,0.4688,NA,NA,NA,NA,NA,NA
"191","dpz826t",1.3086,0.2059,34,0,0.2647,0.2353,0,0,0.5,NA,NA,NA,NA,NA,NA
